Cin,c_out,c_in_c_out,c_out/(c_in_c_out)
19.9,9.5,189.05,0.05025125628
24.1,12.0,289.2,0.04149377593
33.2,9.0,298.8,0.03012048193
29.5,11.2,330.4,0.03389830508
27.8,10.6,294.68,0.03597122302
20.0,12.9,258,0.05
27.8,9.8,272.44,0.03597122302
33.3,13.0,432.9,0.03003003003
29.0,8.2,237.8,0.03448275862
39.0,10.0,390,0.02564102564
19.9,5.8,115.42,0.05025125628
24.1,10.2,245.82,0.04149377593
33.2,8.6,285.52,0.03012048193
29.5,4.9,144.55,0.03389830508
27.8,11.7,325.26,0.03597122302
20.0,3.7,74,0.05
27.8,9.3,258.54,0.03597122302
33.3,6.5,216.45,0.03003003003
29.0,7.0,203,0.03448275862
39.0,11.0,429,0.02564102564
19.9,1.6,31.84,0.05025125628
24.1,1.7,40.97,0.04149377593
33.2,2.0,66.4,0.03012048193
29.5,1.7,50.15,0.03389830508
27.8,2.2,61.16,0.03597122302
20.0,2.5,50,0.05
27.8,2.4,66.72,0.03597122302
33.3,2.0,66.6,0.03003003003
29.0,2.4,69.6,0.03448275862
39.0,2.7,105.3,0.02564102564
