Cin,c_out,c_in_c_out,c_out/(c_in_c_out)
118.0,143.0,16874,0.008474576271
113.5,102.3,11611.05,0.008810572687
119.3,118.5,14137.05,0.008382229673
114.8,130.7,15004.36,0.008710801394
117.6,115.9,13629.84,0.008503401361
111.9,107.4,12018.06,0.008936550492
116.3,136.2,15840.06,0.008598452279
112.6,122.8,13827.28,0.008880994671
115.0,108.6,12489,0.008695652174
118.0,127.1,14997.8,0.008474576271
118.0,122.0,14396,0.008474576271
113.5,130.6,14823.1,0.008810572687
119.3,130.4,15556.72,0.008382229673
114.8,123.1,14131.88,0.008710801394
117.6,127.9,15041.04,0.008503401361
111.9,131.1,14670.09,0.008936550492
116.3,129.5,15060.85,0.008598452279
112.6,132.3,14896.98,0.008880994671
115.0,128.9,14823.5,0.008695652174
118.0,135.9,16036.2,0.008474576271
118.0,159.0,18762,0.008474576271
113.5,128.3,14562.05,0.008810572687
119.3,145.7,17382.01,0.008382229673
114.8,137.5,15785,0.008710801394
117.6,116.8,13735.68,0.008503401361
111.9,153.2,17143.08,0.008936550492
116.3,122.9,14293.27,0.008598452279
112.6,150.4,16935.04,0.008880994671
115.0,134.1,15421.5,0.008695652174
118.0,157.3,18561.4,0.008474576271
