Tempo de Residência,Concentração,ln[C],1/Ct
0,"19.9","2.9907","0.0503"
0,"24.1","3.1822","0.0415"
0,"33.2","3.5025","0.0301"
0,"29.5","3.3844","0.0339"
0,"27.8","3.3250","0.0360"
0,"20.0","2.9957","0.0500"
0,"27.8","3.3250","0.0360"
3542,"9.5","2.2513","0.1053"
3542,"12.0","2.4849","0.0833"
3542,"9.0","2.1972","0.1111"
3542,"11.2","2.4159","0.0893"
3542,"10.6","2.3609","0.0943"
3542,"12.9","2.5572","0.0775"
3542,"9.8","2.2824","0.1020"
7085,"5.8","1.7579","0.1724"
7085,"10.2","2.3224","0.0980"
7085,"8.6","2.1518","0.1163"
7085,"4.9","1.5892","0.2041"
7085,"11.7","2.4596","0.0855"
7085,"3.7","1.3083","0.2703"
7085,"9.3","2.2300","0.1075"
10627,"1.6","0.4700","0.6250"
10627,"1.7","0.5306","0.5882"
10627,"2.0","0.6931","0.5000"
10627,"1.7","0.5306","0.5882"
10627,"2.2","0.7885","0.4545"
10627,"2.5","0.9163","0.4000"
10627,"2.4","0.8755","0.4167"
